Gene Symbol	SKOV_KO
LOC107986131	5
LOC107986133	1
LOC105378655	0
ENPP7P3	0
LOC107986134	0
LOC107986132	0
SNRPCP8	0
COL6A4P2	0
LOC105374106	0
LOC100507083	0
COL6A5	0
COL6A6	0
PIK3R4	566
LOC105378654	0
LOC107986023	5
RN7SKP212	0
LOC105374107	0
GSTO3P	0
LOC105374108	0
ATP2C1	1074
LOC100420832	0
LOC100420298	0
ASTE1	75
NEK11	104
LINC01343	0
LOC107986024	0
RNU6-726P	0
LOC339874	1
NUDT16P1	95
NUDT16	311
LOC107986025	4
LOC105374110	3
MRPL3	4216
SNORA58	0
LOC105374114	1
ATAD3B	1204
LOC105378657	0
BCL2L12P1	0
CPNE4	1
LOC105374113	0
LOC105374111	0
LOC729674	0
TRC-GCA6-1	0
TRC-GCA9-1	0
RPL7P16	0
ACPP	0
TUBB6P1	0
LOC100130550	0
NIP7P2	0
DNAJC13	1228
NPHP3-ACAD11	68
ACAD11	674
ACKR4	3
HSPA8P19	0
UBA5	886
NPHP3	85
NPHP3-AS1	0
RNU6-753P	0
LOC105374115	0
TMEM108	0
TMEM108-AS1	0
LOC101927432	0
BFSP2	1
BFSP2-AS1	11
LOC391578	0
CDV3	4213
TOPBP1	1486
TF	19
LOC107984943	0
RNU6-678P	0
TFP1	6
RNA5SP140	0
LOC100421637	0
SRPRB	2626
LOC105374116	0
RAB6B	312
C3orf36	0
SLCO2A1	1
LINC02000	0
LOC105378656	0
LOC105374117	5
RYK	1115
HMGB3P14	2
LOC105374119	4
LOC105374118	2
RPL39P5	0
AMOTL2	1082
HMGN1P9	0
HMGB3P13	0
LOC105378658	0
ANAPC13	905
CEP63	361
LOC100421154	0
KY	0
EPHB1	0
RNU6-1174P	0
RNA5SP141	0
LOC105374121	0
LOC105374120	0
LOC105378660	0
LOC102724019	0
LOC105374122	0
LOC105374123	0
LOC105374124	0
NDUFS6P1	0
PPP2R3A	77
LOC107986135	0
LOC100420050	0
MSL2	647
TDGF1P6	1
LOC400750	0
RPL31P23	0
PCCB	981
STAG1	2117
RNU6-1284P	0
RNY4P4	0
HMGN1P10	0
RNU6-789P	0
LOC100421438	1
SLC35G2	62
NCK1-AS1	35
RRAGC	325
NCK1	343
RAD51AP1P1	2
LOC107986136	40
IL20RB	11
RNA5SP142	0
LOC100289118	0
LOC105374126	0
NPM1P17	0
SOX14	0
LINC01210	0
GJA9-MYCBP	5
HSPA8P9	0
CLDN18	1
LOC105374127	2
LOC105374128	1
DZIP1L	63
KRT8P36	5
A4GNT	1
DBR1	626
ARMC8	584
NME9	7
SEPT14P18	1
ATAD3A	1425
MYCBP	688
MRAS	280
LOC105374129	0
ESYT3	0
CEP70	337
FAIM	107
LOC256374	0
PIK3CB	735
GAPDHP39	1
RPL23AP40	0
EEF1A1P25	0
LOC105378663	0
ATP5G1P3	0
LINC01391	0
FOXL2	1
FOXL2NB	5
PRR23A	0
PRR23B	1
PRR23C	0
RPL7L1P7	0
BPESC1	0
PISRT1	0
GJA9	0
MRPS22	2149
COPB2	3377
LOC100507291	5
RBP2	0
ACTG1P1	7
RBP1	895
NMNAT3	48
RN7SKP124	0
RN7SL724P	0
TRMT112P5	0
RHBDL2	0
CLSTN2	21
LOC105374132	0
CLSTN2-AS1	0
LOC102724068	1
TRIM42	0
RPL23AP41	0
SLC25A36	1420
SPSB4	4
PXYLP1	267
RPL31P21	0
LOC105378662	0
LOC107986137	0
LOC100289442	0
ZBTB38	838
KRT18P35	0
RASA2	262
YWHAQP6	0
LOC646730	0
TPT1P3	0
RNF7	1034
GRK7	3
RNU6-605P	0
LOC105374134	0
HMGN2P25	0
ATP1B3	1755
RNU6-509P	0
TFDP2	1097
RPL19P6	0
RNU6-425P	0
GK5	296
XRN1	1022
RNU6-1294P	0
EIF1P2	0
RNU1-100P	0
ATR	1077
LOC731755	4
SUCLG2P1	0
RPL6P9	0
RNA5SP143	0
PLS1	1557
LOC105374136	0
RN7SKP25	0
TRPC1	105
AKIRIN1	1402
RNU7-47P	0
PCOLCE2	82
RPL8P3	1
LOC100507389	0
PAQR9	0
PAQR9-AS1	0
LOC100289361	11
U2SURP	5712
LOC105374138	0
CHST2	16
NDUFS5	2797
LOC105374137	0
PBX2P1	4
SLC9A9	20
SLC9A9-AS1	0
GAPDHP47	0
ST13P15	0
LOC100128739	0
LOC102724120	0
RPS17P10	0
C3orf58	230
LOC107984944	17
RNA5SP144	0
LOC105374140	1
LOC105374139	0
LOC105374141	0
LARP7P4	0
