Gene Symbol	OVCAR_KO
LOC107986133	10
LOC105378655	0
ENPP7P3	0
LOC107986134	1
LOC107986132	1
SNRPCP8	0
COL6A4P2	4
LOC105374106	0
LOC100507083	0
COL6A5	0
COL6A6	1
PIK3R4	403
LOC105378654	0
LOC107986023	9
RN7SKP212	0
LOC105374107	0
GSTO3P	0
LOC105374108	0
ATP2C1	991
LOC100420832	3
LOC100420298	0
ASTE1	74
NEK11	68
LINC01343	0
LOC107986024	3
RNU6-726P	0
LOC339874	6
NUDT16P1	75
NUDT16	379
LOC107986025	7
LOC105374110	1
MRPL3	3026
SNORA58	0
LOC105374114	1
ATAD3B	715
LOC105378657	0
BCL2L12P1	0
CPNE4	0
LOC105374113	0
LOC105374111	0
LOC729674	0
TRC-GCA6-1	0
TRC-GCA9-1	0
RPL7P16	0
ACPP	2
TUBB6P1	0
LOC100130550	0
NIP7P2	0
DNAJC13	999
NPHP3-ACAD11	25
ACAD11	434
ACKR4	7
HSPA8P19	0
UBA5	785
NPHP3	277
NPHP3-AS1	0
RNU6-753P	0
LOC105374115	0
TMEM108	0
TMEM108-AS1	0
LOC101927432	0
BFSP2	0
BFSP2-AS1	54
LOC391578	0
CDV3	2233
TOPBP1	1397
TF	27
LOC107984943	0
RNU6-678P	0
TFP1	51
RNA5SP140	0
LOC100421637	0
SRPRB	1007
LOC105374116	0
RAB6B	255
C3orf36	0
SLCO2A1	4
LINC02000	0
LOC105378656	0
LOC105374117	1
RYK	1358
HMGB3P14	6
LOC105374119	1
LOC105374118	3
RPL39P5	0
AMOTL2	309
HMGN1P9	0
HMGB3P13	0
LOC105378658	0
ANAPC13	872
CEP63	374
LOC100421154	0
KY	2
EPHB1	5
RNU6-1174P	0
RNA5SP141	0
LOC105374121	1
LOC105374120	1
LOC105378660	0
LOC102724019	3
LOC105374122	0
LOC105374123	0
LOC105374124	0
NDUFS6P1	0
PPP2R3A	257
LOC107986135	3
LOC100420050	0
MSL2	505
TDGF1P6	17
LOC400750	1
RPL31P23	0
PCCB	485
STAG1	767
RNU6-1284P	0
RNY4P4	0
HMGN1P10	0
RNU6-789P	0
LOC100421438	15
SLC35G2	93
NCK1-AS1	80
RRAGC	170
NCK1	467
RAD51AP1P1	8
LOC107986136	62
IL20RB	65
RNA5SP142	0
LOC100289118	0
LOC105374126	0
NPM1P17	0
SOX14	0
LINC01210	0
GJA9-MYCBP	40
HSPA8P9	0
CLDN18	9
LOC105374127	15
LOC105374128	32
DZIP1L	78
KRT8P36	1
A4GNT	1
DBR1	345
ARMC8	877
NME9	48
SEPT14P18	11
